id,tanggal,lokasi_dominan
10,22/05/19,Kabupaten Bekasi
11,22/05/19,Kota Bekasi
12,22/05/19,Kota Tangerang
13,22/05/19,Jakarta Selatan
14,22/05/19,Jakarta Utara
15,22/05/19,Jakarta Selatan
16,22/05/19,Kota Bekasi
17,22/05/19,Jakarta Pusat
18,22/05/19,Jakarta Barat
19,22/05/19,Kabupaten Tangerang
20,22/05/19,Jakarta Selatan
21,22/05/19,Jakarta Pusat
22,22/05/19,Kota Tangerang
23,22/05/19,Kabupaten Bogor
24,22/05/19,Kota Bogor
25,22/05/19,Kota Bogor
26,22/05/19,Jakarta Utara
27,22/05/19,Kota Bekasi
28,22/05/19,Kota Tangerang
29,22/05/19,Jakarta Pusat
30,22/05/19,Kota Depok
31,22/05/19,Jakarta Timur
32,22/05/19,Kota Bekasi
33,22/05/19,Kota Bogor
34,22/05/19,Kabupaten Bekasi
35,22/05/19,Jakarta Selatan
36,22/05/19,Kota Bekasi
37,22/05/19,Kota Depok
38,22/05/19,Kabupaten Bekasi
39,22/05/19,Jakarta Pusat
40,22/05/19,Kabupaten Bogor
41,22/05/19,Jakarta Timur
42,22/05/19,Jakarta Pusat
43,22/05/19,Jakarta Timur
44,22/05/19,Kabupaten Tangerang
45,22/05/19,Jakarta Timur
46,22/05/19,Kota Bekasi
47,22/05/19,Jakarta Utara
48,22/05/19,Kota Bekasi
49,22/05/19,Kabupaten Bogor
50,22/05/19,Jakarta Barat
51,22/05/19,Jakarta Pusat
52,22/05/19,Jakarta Utara
53,22/05/19,Jakarta Timur
54,22/05/19,Kota Tangerang Selatan
55,22/05/19,Kabupaten Tangerang
56,22/05/19,Kabupaten Bekasi
57,22/05/19,Kota Depok
58,22/05/19,Kota Bekasi
59,22/05/19,Kabupaten Tangerang
60,22/05/19,Jakarta Pusat
61,22/05/19,Kota Tangerang Selatan
62,22/05/19,Jakarta Barat
63,22/05/19,Kabupaten Bogor
64,22/05/19,Jakarta Selatan
65,22/05/19,Kota Tangerang Selatan
66,22/05/19,Kota Tangerang Selatan
67,22/05/19,Jakarta Utara
68,22/05/19,Jakarta Barat
69,22/05/19,Kota Bekasi
70,22/05/19,Jakarta Selatan
71,22/05/19,Jakarta Timur
72,22/05/19,Kabupaten Bekasi
73,22/05/19,Kabupaten Bogor
74,22/05/19,Kota Bogor
75,22/05/19,Kota Tangerang Selatan
76,22/05/19,Kabupaten Bogor
77,22/05/19,Kota Tangerang Selatan
78,22/05/19,Jakarta Pusat
79,22/05/19,Kota Bogor
80,22/05/19,Jakarta Barat
81,22/05/19,Kabupaten Bekasi
82,22/05/19,Jakarta Utara
83,22/05/19,Kota Tangerang
84,22/05/19,Jakarta Utara
85,22/05/19,Jakarta Barat
86,22/05/19,Jakarta Barat
87,22/05/19,Kota Depok
88,22/05/19,Kota Tangerang
89,22/05/19,Jakarta Barat
90,22/05/19,Kota Depok
91,22/05/19,Jakarta Barat
92,22/05/19,Kota Tangerang
93,22/05/19,Jakarta Barat
94,22/05/19,Jakarta Barat
95,22/05/19,Kota Tangerang Selatan
96,22/05/19,Kota Bogor
97,22/05/19,Kota Bogor
98,22/05/19,Jakarta Timur
99,22/05/19,Kabupaten Bekasi
100,22/05/19,Jakarta Timur
1,23/05/19,Jakarta Pusat
2,23/05/19,Jakarta Selatan
3,23/05/19,Kota Bekasi
4,23/05/19,Jakarta Utara
5,23/05/19,Jakarta Barat
6,23/05/19,Kota Depok
7,23/05/19,Jakarta Pusat
8,23/05/19,Kota Tangerang
9,23/05/19,Kota Bogor
10,23/05/19,Kota Tangerang
11,23/05/19,Kota Bekasi
12,23/05/19,Kabupaten Bogor
13,23/05/19,Jakarta Selatan
14,23/05/19,Jakarta Utara
15,23/05/19,Kota Depok
16,23/05/19,Kota Bekasi
17,23/05/19,Kota Yogyakarta
18,23/05/19,Jakarta Barat
19,23/05/19,Kabupaten Tangerang
20,23/05/19,Kota Bogor
21,23/05/19,Jakarta Pusat
22,23/05/19,Kota Tangerang
23,23/05/19,Kabupaten Bogor
24,23/05/19,Kota Bogor
25,23/05/19,Kota Bogor
26,23/05/19,Jakarta Utara
27,23/05/19,Kota Bekasi
28,23/05/19,Kota Tangerang
29,23/05/19,Jakarta Pusat
30,23/05/19,Kota Depok
31,23/05/19,Jakarta Timur
32,23/05/19,Kota Bekasi
33,23/05/19,Kota Bogor
34,23/05/19,Kabupaten Bekasi
35,23/05/19,Jakarta Selatan
36,23/05/19,Kota Bekasi
37,23/05/19,Kota Depok
38,23/05/19,Kabupaten Bekasi
39,23/05/19,Jakarta Pusat
40,23/05/19,Kabupaten Bogor
41,23/05/19,Kabupaten Bekasi
42,23/05/19,Jakarta Pusat
43,23/05/19,Kabupaten Bekasi
44,23/05/19,Kabupaten Tangerang
45,23/05/19,Kota Tangerang
46,23/05/19,Kota Bekasi
47,23/05/19,Kota Bekasi
48,23/05/19,Kabupaten Bekasi
49,23/05/19,Jakarta Selatan
50,23/05/19,Kota Tangerang Selatan
51,23/05/19,Jakarta Pusat
52,23/05/19,Kota Tangerang Selatan
53,23/05/19,Jakarta Timur
54,23/05/19,Kota Yogyakarta
55,23/05/19,Kota Tangerang
56,23/05/19,Kota Tangerang
57,23/05/19,Kabupaten Bekasi
58,23/05/19,Kota Yogyakarta
59,23/05/19,Kabupaten Bogor
60,23/05/19,Jakarta Pusat
61,23/05/19,Kabupaten Tangerang
62,23/05/19,Jakarta Barat
63,23/05/19,Kota Tangerang
64,23/05/19,Jakarta Timur
65,23/05/19,Kota Tangerang Selatan
66,23/05/19,Kabupaten Tangerang
67,23/05/19,Jakarta Utara
68,23/05/19,Jakarta Barat
69,23/05/19,Kota Bekasi
70,23/05/19,Jakarta Barat
71,23/05/19,Kota Depok
72,23/05/19,Kota Depok
73,23/05/19,Kabupaten Bogor
74,23/05/19,Kabupaten Tangerang
75,23/05/19,Kota Tangerang Selatan
76,23/05/19,Kota Tangerang Selatan
77,23/05/19,Kabupaten Bekasi
78,23/05/19,Jakarta Timur
79,23/05/19,Kota Depok
80,23/05/19,Jakarta Selatan
81,23/05/19,Kabupaten Bekasi
82,23/05/19,Jakarta Utara
83,23/05/19,Jakarta Pusat
84,23/05/19,Kota Bogor
85,23/05/19,Kabupaten Bogor
86,23/05/19,Kota Bekasi
87,23/05/19,Kota Depok
88,23/05/19,Kota Tangerang
89,23/05/19,Jakarta Barat
90,23/05/19,Kota Depok
91,23/05/19,Jakarta Barat
92,23/05/19,Kabupaten Tangerang
93,23/05/19,Kota Depok
94,23/05/19,Jakarta Barat
95,23/05/19,Kota Tangerang Selatan
96,23/05/19,Kota Bogor
97,23/05/19,Kota Depok
98,23/05/19,Kota Bogor
99,23/05/19,Kota Depok
100,23/05/19,Jakarta Timur
1,24/05/19,Kota Bekasi
2,24/05/19,Kabupaten Bogor
3,24/05/19,Kabupaten Bekasi
4,24/05/19,Kota Tangerang
5,24/05/19,Jakarta Barat
6,24/05/19,Kota Depok
7,24/05/19,Kota Tangerang
8,24/05/19,Kota Tangerang Selatan
9,24/05/19,Kota Bogor
10,24/05/19,Kabupaten Bantul
11,24/05/19,Kota Bekasi
12,24/05/19,Kabupaten Bogor
13,24/05/19,Jakarta Selatan
14,24/05/19,Jakarta Utara
15,24/05/19,Kota Tangerang
16,24/05/19,Kabupaten Bekasi
17,24/05/19,Kota Depok
18,24/05/19,Jakarta Barat
19,24/05/19,Kabupaten Tangerang
20,24/05/19,Kabupaten Wonogiri
21,24/05/19,Jakarta Pusat
22,24/05/19,Kota Tangerang
23,24/05/19,Kabupaten Bogor
24,24/05/19,Kota Bogor
25,24/05/19,Kota Bogor
26,24/05/19,Jakarta Utara
27,24/05/19,Kota Bekasi
28,24/05/19,Kota Tangerang
29,24/05/19,Jakarta Pusat
30,24/05/19,Kota Depok
31,24/05/19,Jakarta Timur
32,24/05/19,Kota Bekasi
33,24/05/19,Kota Bogor
34,24/05/19,Kabupaten Bekasi
35,24/05/19,Jakarta Selatan
36,24/05/19,Kota Bekasi
37,24/05/19,Kota Depok
38,24/05/19,Kabupaten Bekasi
39,24/05/19,Jakarta Pusat
40,24/05/19,Jakarta Selatan
41,24/05/19,Kota Tangerang Selatan
42,24/05/19,Jakarta Pusat
43,24/05/19,Jakarta Timur
44,24/05/19,Kabupaten Tangerang
45,24/05/19,Kabupaten Tangerang
46,24/05/19,Kota Bekasi
47,24/05/19,Kota Depok
48,24/05/19,Kota Tangerang Selatan
49,24/05/19,Kabupaten Bekasi
50,24/05/19,Jakarta Barat
51,24/05/19,Jakarta Pusat
52,24/05/19,Kota Tangerang Selatan
53,24/05/19,Jakarta Timur
54,24/05/19,Kota Bogor
55,24/05/19,Jakarta Pusat
56,24/05/19,Kabupaten Bogor
57,24/05/19,Jakarta Timur
58,24/05/19,Kota Bekasi
59,24/05/19,Kota Tangerang
60,24/05/19,Jakarta Pusat
61,24/05/19,Jakarta Pusat
62,24/05/19,Jakarta Barat
63,24/05/19,Jakarta Barat
64,24/05/19,Kabupaten Bekasi
65,24/05/19,Kota Tangerang Selatan
66,24/05/19,Jakarta Utara
67,24/05/19,Jakarta Utara
68,24/05/19,Jakarta Timur
69,24/05/19,Kota Bekasi
70,24/05/19,Kabupaten Bogor
71,24/05/19,Jakarta Pusat
72,24/05/19,Kabupaten Tangerang
73,24/05/19,Kabupaten Bogor
74,24/05/19,Kabupaten Bekasi
75,24/05/19,Kota Tangerang Selatan
76,24/05/19,Jakarta Timur
77,24/05/19,Jakarta Selatan
78,24/05/19,Jakarta Pusat
79,24/05/19,Kota Depok
80,24/05/19,Kota Bogor
81,24/05/19,Kabupaten Bekasi
82,24/05/19,Jakarta Utara
83,24/05/19,Kota Tangerang
84,24/05/19,Jakarta Timur
85,24/05/19,Kabupaten Bekasi
86,24/05/19,Jakarta Pusat
87,24/05/19,Kota Depok
88,24/05/19,Kota Tangerang
89,24/05/19,Jakarta Barat
90,24/05/19,Kota Depok
91,24/05/19,Jakarta Barat
92,24/05/19,Jakarta Barat
93,24/05/19,Jakarta Barat
94,24/05/19,Jakarta Selatan
95,24/05/19,Kota Tangerang Selatan
96,24/05/19,Kota Bogor
97,24/05/19,Kota Bogor
98,24/05/19,Jakarta Timur
99,24/05/19,Jakarta Timur
100,24/05/19,Jakarta Timur
1,25/05/19,Kota Bekasi
2,25/05/19,Kabupaten Bogor
3,25/05/19,Jakarta Timur
4,25/05/19,Kota Tangerang
5,25/05/19,Jakarta Barat
6,25/05/19,Kota Depok
7,25/05/19,Kota Tangerang
8,25/05/19,Kota Depok
9,25/05/19,Kota Bogor
10,25/05/19,Kota Yogyakarta
11,25/05/19,Kota Bekasi
12,25/05/19,Kota Depok
13,25/05/19,Jakarta Selatan
14,25/05/19,Jakarta Utara
15,25/05/19,Jakarta Utara
16,25/05/19,Kota Bekasi
17,25/05/19,Jakarta Pusat
18,25/05/19,Jakarta Barat
19,25/05/19,Kabupaten Tangerang
20,25/05/19,Kota Bekasi
21,25/05/19,Jakarta Pusat
22,25/05/19,Kota Tangerang
23,25/05/19,Kabupaten Bogor
24,25/05/19,Kota Bogor
25,25/05/19,Kota Bogor
26,25/05/19,Jakarta Utara
27,25/05/19,Kota Bekasi
28,25/05/19,Kota Tangerang
29,25/05/19,Jakarta Pusat
30,25/05/19,Kota Depok
31,25/05/19,Jakarta Timur
32,25/05/19,Kota Bekasi
33,25/05/19,Kota Bogor
34,25/05/19,Kabupaten Bekasi
35,25/05/19,Jakarta Selatan
36,25/05/19,Kota Bekasi
37,25/05/19,Kota Depok
38,25/05/19,Kabupaten Bekasi
39,25/05/19,Jakarta Pusat
40,25/05/19,Kabupaten Bogor
41,25/05/19,Jakarta Timur
42,25/05/19,Jakarta Pusat
43,25/05/19,Kota Depok
44,25/05/19,Kabupaten Tangerang
45,25/05/19,Jakarta Timur
46,25/05/19,Kota Bekasi
47,25/05/19,Jakarta Utara
48,25/05/19,Kabupaten Bekasi
49,25/05/19,Kota Medan
50,25/05/19,Kota Tangerang Selatan
51,25/05/19,Jakarta Pusat
52,25/05/19,Kota Bogor
53,25/05/19,Jakarta Timur
54,25/05/19,Kabupaten Tangerang
55,25/05/19,Kabupaten Tangerang
56,25/05/19,Kabupaten Bekasi
57,25/05/19,Kota Depok
58,25/05/19,Kota Bekasi
59,25/05/19,Jakarta Barat
60,25/05/19,Jakarta Pusat
61,25/05/19,Jakarta Pusat
62,25/05/19,Jakarta Barat
63,25/05/19,Kabupaten Bogor
64,25/05/19,Jakarta Timur
65,25/05/19,Kota Tangerang Selatan
66,25/05/19,Kota Bogor
67,25/05/19,Jakarta Timur
68,25/05/19,Kota Tangerang
69,25/05/19,Kota Bekasi
70,25/05/19,Jakarta Selatan
71,25/05/19,Jakarta Utara
72,25/05/19,Kota Bogor
73,25/05/19,Kabupaten Bogor
74,25/05/19,Kota Tangerang Selatan
75,25/05/19,Kota Tangerang Selatan
76,25/05/19,Kabupaten Bogor
77,25/05/19,Kabupaten Bogor
78,25/05/19,Kota Depok
79,25/05/19,Kota Bekasi
80,25/05/19,Jakarta Barat
81,25/05/19,Kabupaten Bekasi
82,25/05/19,Jakarta Utara
83,25/05/19,Kota Depok
84,25/05/19,Jakarta Timur
85,25/05/19,Jakarta Barat
86,25/05/19,Kota Depok
87,25/05/19,Kota Depok
88,25/05/19,Kota Tangerang
89,25/05/19,Jakarta Barat
90,25/05/19,Kota Depok
91,25/05/19,Jakarta Barat
92,25/05/19,Kota Depok
93,25/05/19,Jakarta Barat
94,25/05/19,Kota Bogor
95,25/05/19,Kota Tangerang Selatan
96,25/05/19,Kota Bogor
97,25/05/19,Jakarta Selatan
98,25/05/19,Jakarta Timur
99,25/05/19,Kabupaten Bekasi
100,25/05/19,Jakarta Timur
1,26/05/19,Kota Medan
2,26/05/19,Kabupaten Bogor
3,26/05/19,Jakarta Timur
4,26/05/19,Kota Tangerang
5,26/05/19,Jakarta Barat
6,26/05/19,Kota Depok
7,26/05/19,Jakarta Timur
8,26/05/19,Kota Bekasi
9,26/05/19,Kota Bogor
10,26/05/19,Kabupaten Bantul
11,26/05/19,Jakarta Selatan
12,26/05/19,Jakarta Utara
13,26/05/19,Jakarta Selatan
14,26/05/19,Jakarta Utara
15,26/05/19,Jakarta Selatan
16,26/05/19,Kota Bekasi
17,26/05/19,Jakarta Pusat
18,26/05/19,Kabupaten Tangerang
19,26/05/19,Kabupaten Tangerang
20,26/05/19,Kota Manado
21,26/05/19,Jakarta Pusat
22,26/05/19,Kota Tangerang
23,26/05/19,Jakarta Pusat
24,26/05/19,Kota Bogor
25,26/05/19,Kota Bogor
26,26/05/19,Jakarta Utara
27,26/05/19,Kota Bekasi
28,26/05/19,Kota Tangerang
29,26/05/19,Jakarta Pusat
30,26/05/19,Kota Depok
31,26/05/19,Jakarta Timur
32,26/05/19,Kota Bekasi
33,26/05/19,Kota Bogor
34,26/05/19,Kabupaten Bekasi
35,26/05/19,Jakarta Selatan
36,26/05/19,Kota Bekasi
37,26/05/19,Kota Depok
38,26/05/19,Kabupaten Bekasi
39,26/05/19,Jakarta Pusat
40,26/05/19,Kabupaten Bogor
41,26/05/19,Kabupaten Bekasi
42,26/05/19,Jakarta Pusat
43,26/05/19,Jakarta Timur
44,26/05/19,Kabupaten Tangerang
45,26/05/19,Kota Tangerang
46,26/05/19,Kota Bekasi
47,26/05/19,Kota Bekasi
48,26/05/19,Kota Bekasi
49,26/05/19,Kota Bogor
50,26/05/19,Jakarta Barat
51,26/05/19,Jakarta Pusat
52,26/05/19,Jakarta Selatan
53,26/05/19,Jakarta Timur
54,26/05/19,Kabupaten Bantul
55,26/05/19,Kota Tangerang
56,26/05/19,Kota Tangerang
57,26/05/19,Kabupaten Bekasi
58,26/05/19,Kota Bekasi
59,26/05/19,Jakarta Barat
60,26/05/19,Jakarta Pusat
61,26/05/19,Jakarta Pusat
62,26/05/19,Jakarta Barat
63,26/05/19,Kota Tangerang
64,26/05/19,Jakarta Selatan
65,26/05/19,Kota Tangerang Selatan
66,26/05/19,Kota Tangerang Selatan
67,26/05/19,Jakarta Utara
68,26/05/19,Jakarta Utara
69,26/05/19,Kota Bekasi
70,26/05/19,Jakarta Barat
71,26/05/19,Jakarta Timur
72,26/05/19,Jakarta Utara
73,26/05/19,Kabupaten Bogor
74,26/05/19,Kabupaten Bekasi
75,26/05/19,Kota Tangerang Selatan
76,26/05/19,Kota Tangerang Selatan
77,26/05/19,Kota Tangerang Selatan
78,26/05/19,Jakarta Pusat
79,26/05/19,Kota Bogor
80,26/05/19,Jakarta Selatan
81,26/05/19,Kabupaten Bekasi
82,26/05/19,Kota Tangerang Selatan
83,26/05/19,Kabupaten Bekasi
84,26/05/19,Kabupaten Tangerang
85,26/05/19,Kabupaten Bogor
86,26/05/19,Kota Bandung
87,26/05/19,Kota Depok
88,26/05/19,Kota Tangerang
89,26/05/19,Jakarta Barat
90,26/05/19,Kota Depok
91,26/05/19,Jakarta Barat
92,26/05/19,Kota Tangerang
93,26/05/19,Kota Depok
94,26/05/19,Jakarta Barat
95,26/05/19,Kota Tangerang Selatan
96,26/05/19,Kota Bogor
97,26/05/19,Jakarta Barat
98,26/05/19,Kota Bogor
99,26/05/19,Kota Depok
100,26/05/19,Jakarta Timur
1,27/05/19,Kota Bekasi
2,27/05/19,Kabupaten Bogor
3,27/05/19,Kota Depok
4,27/05/19,Kota Tangerang
5,27/05/19,Kabupaten Tangerang
6,27/05/19,Kota Depok
7,27/05/19,Jakarta Timur
8,27/05/19,Kota Tangerang
9,27/05/19,Kota Bogor
10,27/05/19,Kabupaten Bantul
11,27/05/19,Kota Bekasi
12,27/05/19,Jakarta Barat
13,27/05/19,Kota Bogor
14,27/05/19,Jakarta Utara
15,27/05/19,Kota Depok
16,27/05/19,Kota Bekasi
17,27/05/19,Kota Depok
18,27/05/19,Jakarta Barat
19,27/05/19,Kabupaten Tasikmalaya
20,27/05/19,Kota Bogor
21,27/05/19,Kota Bandung
22,27/05/19,Kota Tangerang
23,27/05/19,Kabupaten Wonogiri
24,27/05/19,Kota Bogor
25,27/05/19,Kota Bogor
26,27/05/19,Jakarta Utara
27,27/05/19,Kota Bekasi
28,27/05/19,Kota Tangerang
29,27/05/19,Jakarta Pusat
30,27/05/19,Kota Depok
31,27/05/19,Jakarta Timur
32,27/05/19,Kota Bekasi
33,27/05/19,Kota Bogor
34,27/05/19,Kabupaten Bekasi
35,27/05/19,Jakarta Selatan
36,27/05/19,Kota Bekasi
37,27/05/19,Kota Depok
38,27/05/19,Kabupaten Bekasi
39,27/05/19,Jakarta Pusat
40,27/05/19,Jakarta Selatan
41,27/05/19,Kota Tangerang Selatan
42,27/05/19,Jakarta Pusat
43,27/05/19,Kabupaten Bekasi
44,27/05/19,Kabupaten Tangerang
45,27/05/19,Kabupaten Tangerang
46,27/05/19,Kota Bekasi
47,27/05/19,Kota Depok
48,27/05/19,Kabupaten Bekasi
49,27/05/19,Kota Tangerang
50,27/05/19,Kota Tangerang Selatan
51,27/05/19,Jakarta Pusat
52,27/05/19,Kota Bogor
53,27/05/19,Jakarta Timur
54,27/05/19,Jakarta Timur
55,27/05/19,Jakarta Pusat
56,27/05/19,Kabupaten Bogor
57,27/05/19,Jakarta Timur
58,27/05/19,Kota Bekasi
59,27/05/19,Jakarta Selatan
60,27/05/19,Jakarta Pusat
61,27/05/19,Jakarta Pusat
62,27/05/19,Jakarta Barat
63,27/05/19,Jakarta Barat
64,27/05/19,Jakarta Timur
65,27/05/19,Kota Tangerang
66,27/05/19,Kabupaten Tangerang
67,27/05/19,Jakarta Utara
68,27/05/19,Jakarta Barat
69,27/05/19,Kota Bekasi
70,27/05/19,Kabupaten Bogor
71,27/05/19,Kota Depok
72,27/05/19,Kota Depok
73,27/05/19,Kabupaten Bogor
74,27/05/19,Kabupaten Bekasi
75,27/05/19,Kota Tangerang Selatan
76,27/05/19,Jakarta Timur
77,27/05/19,Kabupaten Bekasi
78,27/05/19,Jakarta Timur
79,27/05/19,Kota Bogor
80,27/05/19,Kota Bogor
81,27/05/19,Kabupaten Bekasi
82,27/05/19,Jakarta Barat
83,27/05/19,Kota Tangerang
84,27/05/19,Jakarta Timur
85,27/05/19,Kabupaten Bekasi
86,27/05/19,Jakarta Barat
87,27/05/19,Kota Depok
88,27/05/19,Kota Tangerang
89,27/05/19,Jakarta Barat
90,27/05/19,Kota Depok
91,27/05/19,Kabupaten Bantul
92,27/05/19,Kabupaten Tangerang
93,27/05/19,Jakarta Barat
94,27/05/19,Jakarta Barat
95,27/05/19,Kota Tangerang Selatan
96,27/05/19,Kota Bogor
97,27/05/19,Kota Tangerang Selatan
98,27/05/19,Jakarta Timur
99,27/05/19,Jakarta Timur
100,27/05/19,Jakarta Timur
1,28/05/19,Kota Padang
2,28/05/19,Kabupaten Bogor
3,28/05/19,Kota Bekasi
4,28/05/19,Kota Tangerang
5,28/05/19,Kota Tangerang
6,28/05/19,Kabupaten Wonogiri
7,28/05/19,Jakarta Utara
8,28/05/19,Kota Tangerang Selatan
9,28/05/19,Jakarta Utara
10,28/05/19,Kota Yogyakarta
11,28/05/19,Kota Depok
12,28/05/19,Jakarta Utara
13,28/05/19,Kabupaten Tasikmalaya
14,28/05/19,Jakarta Utara
15,28/05/19,Kota Tangerang Selatan
16,28/05/19,Jakarta Timur
17,28/05/19,Kabupaten Bekasi
18,28/05/19,Jakarta Barat
19,28/05/19,Kota Tangerang
20,28/05/19,Kota Bandung
21,28/05/19,Kota Bandung
22,28/05/19,Kota Tangerang
23,28/05/19,Kabupaten Wonogiri
24,28/05/19,Kota Bogor
25,28/05/19,Kota Bogor
26,28/05/19,Kota Bekasi
27,28/05/19,Kota Bekasi
28,28/05/19,Kota Tangerang
29,28/05/19,Jakarta Pusat
30,28/05/19,Kota Depok
31,28/05/19,Jakarta Timur
32,28/05/19,Kota Bekasi
33,28/05/19,Kota Bogor
34,28/05/19,Kota Bogor
35,28/05/19,Jakarta Selatan
36,28/05/19,Kota Bekasi
37,28/05/19,Kota Depok
38,28/05/19,Kabupaten Bekasi
39,28/05/19,Jakarta Pusat
40,28/05/19,Kabupaten Bogor
41,28/05/19,Jakarta Timur
42,28/05/19,Jakarta Pusat
43,28/05/19,Jakarta Timur
44,28/05/19,Kabupaten Tangerang
45,28/05/19,Jakarta Timur
46,28/05/19,Kota Bekasi
47,28/05/19,Kota Depok
48,28/05/19,Kota Tangerang Selatan
49,28/05/19,Kota Tangerang
50,28/05/19,Jakarta Barat
51,28/05/19,Jakarta Pusat
52,28/05/19,Kota Bogor
53,28/05/19,Jakarta Timur
54,28/05/19,Jakarta Timur
55,28/05/19,Kabupaten Tangerang
56,28/05/19,Kabupaten Bekasi
57,28/05/19,Kota Depok
58,28/05/19,Kota Bekasi
59,28/05/19,Jakarta Selatan
60,28/05/19,Jakarta Pusat
61,28/05/19,Jakarta Pusat
62,28/05/19,Jakarta Barat
63,28/05/19,Kabupaten Bogor
64,28/05/19,Kabupaten Bekasi
65,28/05/19,Jakarta Barat
66,28/05/19,Jakarta Utara
67,28/05/19,Jakarta Utara
68,28/05/19,Jakarta Barat
69,28/05/19,Kota Bekasi
70,28/05/19,Jakarta Selatan
71,28/05/19,Jakarta Pusat
72,28/05/19,Kabupaten Bekasi
73,28/05/19,Jakarta Selatan
74,28/05/19,Jakarta Utara
75,28/05/19,Kota Tangerang Selatan
76,28/05/19,Kabupaten Bogor
77,28/05/19,Jakarta Selatan
78,28/05/19,Jakarta Pusat
79,28/05/19,Kota Depok
80,28/05/19,Jakarta Barat
81,28/05/19,Kabupaten Bekasi
82,28/05/19,Jakarta Utara
83,28/05/19,Jakarta Pusat
84,28/05/19,Jakarta Utara
85,28/05/19,Jakarta Barat
86,28/05/19,Jakarta Selatan
87,28/05/19,Kota Depok
88,28/05/19,Kota Padang
89,28/05/19,Jakarta Barat
90,28/05/19,Kota Depok
91,28/05/19,Kabupaten Bantul
92,28/05/19,Jakarta Barat
93,28/05/19,Jakarta Barat
